SHOPNUMBER,ADDRESSLINE1,TOWNORCITY,POSTCODE,LONGITUDE,LATITUDE,DESCRIPTION,TITLE,UPDATED
S22,38 High Street,Ashford,TN24 8TE,0.873773,51.149412,I am the description,I am the title,yes
S23,60 Market Street,Atherton,M29 0DP,-2.505223,53.520441,I am the description,I am the title,yes
S24,42 Main Street,Ballyclare,BT39 9AA,-6.0007,54.7521,I am the description,I am the title,yes
S25,87 Church Street,Ballymena,BT43 6DG,-6.2747,54.8663,I am the description,I am the title,yes
S26,19-21 Main Street,Ballymoney,BT53 6AN,-6.5178,55.0696,I am the description,I am the title,yes
S27,59 Parsons Street,Banbury,OX16 8NB,-1.335217,52.054709,I am the description,I am the title,yes
S28,"Unit 9, Ashbury Shopping Centre",Bangor,BT19 6TH,-5.636883,54.648011,I am the description,I am the title,yes
S29,59 Hanbury Road,Bargoed,CF81 8QX,-3.229086,51.690174,I am the description,I am the title,yes
S30,54 Ripple Road,Barking,IG11 7NT,0.081882,51.536328,I am the description,I am the title,yes
S31,46 High Street,Barkingside,IG6 2DQ,0.081831,51.589539,I am the description,I am the title,yes
S32,26 Horsemarket,Barnard Castle,DL12 8LZ,-1.923917,54.543916,I am the description,I am the title,yes
S33,89 High Street,Barnstaple,EX31 1HR,-4.059763,51.079477,I am the description,I am the title,yes
S34,4 South Walk,Basildon,SS14 1BZ,0.45886,51.569042,I am the description,I am the title,yes
S35,"Unit 8, Brighton Hill Centre",Basingstoke,RG22 4EH,-1.114172,51.24503,I am the description,I am the title,yes
S36,30 Shaftesbury Road,Bath,BA2 3LJ,-2.377383,51.376605,I am the description,I am the title,yes
S37,35 North Bridge Street,Bathgate,EH48 4PL,-3.642292,55.902244,I am the description,I am the title,yes
S38,4c Church Road,Bebington,CH63 7PH,-3.003049,53.349369,I am the description,I am the title,yes
S39,7 Bridge Street,Belfast,BT1 1LT,-5.9292,54.6005,I am the description,I am the title,yes
S40,74 Creagagh Road,Belfast,BT6 9EQ,-5.899601,54.584586,I am the description,I am the title,yes
S41,Units 18 & 19 Kings Square Shopping Centre,Belfast,BT5 7EA,-5.844391,54.590018,I am the description,I am the title,yes
S42,"Unit 14, Connswater Retail Park",Belfast,BT5 5DL,-5.893105,54.59472,I am the description,I am the title,yes
S43,65a Nuxley Road,Belvedere,DA17 5JN,0.145712,51.481913,I am the description,I am the title,yes
S44,1 Adelaide Centre,Benwell,NE4 8BE,-1.655752,54.97025,I am the description,I am the title,yes
S45,5/7 Lower Kings Road,Berkhamstead,HP4 2AE,-0.565022,51.761011,I am the description,I am the title,yes
S46,81 High Street,Bideford,EX39 2AA,-4.206403,51.017928,I am the description,I am the title,yes
S47,35 High Street,Billericay,CM12 9BA,0.418699,51.627244,I am the description,I am the title,yes
S48,98a Church Street,Bilston,WV14 0AX,-2.076449,52.565314,I am the description,I am the title,yes
S49,16 Alcester Road South,Birmingham,B14 7PU,-1.893337,52.431953,I am the description,I am the title,yes
S50,"Unit 3a, Hagley Road",Birmingham,B32 2AL,-1.987268,52.465047,I am the description,I am the title,yes
S51,"181 Stratford Road,",Birmingham,B90 3AU,-1.827092,52.412996,I am the description,I am the title,yes
S52,"348 Coventry Road,",Birmingham,B10 OXE,-1.864,52.4722,I am the description,I am the title,yes
S53,"Unit 16 Fox & Goose Shopping Centre,",Birmingham,B8 2EP,-1.819781,52.493643,I am the description,I am the title,yes
S54,106 Newgate Street,Bishop Auckland,DL14 7EW,-1.674866,54.662587,I am the description,I am the title,yes
S55,32 Manor Farm Road,Bitterne Pk,SO2 4NP,-1.371469,50.916931,I am the description,I am the title,yes
S56,393 Bitterne Road,Bitterne Village,SO18 5RR,-1.360631,50.914687,I am the description,I am the title,yes
S57,"Unit 13 (inside Morrisons), Railway Road",Blackburn,BB1 5AZ,-2.479339,53.748284,I am the description,I am the title,yes
S58,42 Abingdon Street,Blackpool,FY1 1DA,-3.051983,53.81904,I am the description,I am the title,yes
S59,68 Topping Street,Blackpool,FY1 3AQ,-3.049845,53.819221,I am the description,I am the title,yes
S60,52 Waterloo Road,Blackpool,FY4 1SB,-3.053937,53.781308,I am the description,I am the title,yes
S61,86 High Street,Blackwood,NP2 1AE,-3.211834,51.66336,I am the description,I am the title,yes
S63,"Unit 18 The Precinct, Westley Court",Blaydon,NE21 5BT,-1.712073,54.964672,I am the description,I am the title,yes
S64,74 Waterloo Road,Blyth,NE24 1DG,-1.512412,55.12647,I am the description,I am the title,yes
S65,10 Fore Street,Bodmin,PL31 2HQ,,,I am the description,I am the title,yes
S66,8/10 Ridgeway Gates,Bolton,BL1 2AF,-2.431107,53.579767,I am the description,I am the title,yes
S68,16 Brackley Street,Bolton,BL4 9DR,-2.394456,53.547922,I am the description,I am the title,yes
S69,18 Brackley Street,Bolton,BL4 9DR,-2.394456,53.547922,I am the description,I am the title,yes
S70,49 Newport Street,Bolton,BL1 1NE,-2.428891,53.577151,I am the description,I am the title,yes
S71,187 Shenley Road,Borehamwood,WD6 1AW,-0.27289,51.65744,I am the description,I am the title,yes
S73,Unit 3 Skirbeck Road,Boston,PE21 6JS,,,I am the description,I am the title,yes
S74,"The West Side of Ash Street, Lake Road",Bowness,LA23 3DB,-2.919675,54.3642,I am the description,I am the title,yes
S75,"Unit B1, Triangle Shopping Centre",Brackla,CF31 2LL,-3.560622,51.50742,I am the description,I am the title,yes
S76,"Unit 3, Parkside Centre, Keighley Road",Bradford,BD9 4JR,-1.773248,53.815811,I am the description,I am the title,yes
S77,11 Great Square,Braintree,CM7 1TX,0.551792,51.878797,I am the description,I am the title,yes
S79,2 Adare Street,Bridgend,CF31 1EJ,-3.577558,51.506716,I am the description,I am the title,yes
S80,50 West Street,Brighton,BN1 2RA,-0.143736,50.822603,I am the description,I am the title,yes
S82,63 Henleaze Road,"Bristol, Henleaze",BS9 4TJ,-2.607892,51.48902,I am the description,I am the title,yes
S83,414 Brixton Road,Brixton,SW9 7AY,-0.114727,51.464448,I am the description,I am the title,yes
S84,16 Allport Lane,Bromborough,CH62 7HP,-2.978158,53.331706,I am the description,I am the title,yes
S85,33 High Street,Bromley,BR1 1LE,0.0166,51.40139,I am the description,I am the title,yes
S87,"Unit B, Briercliffe Shopping Centre, Briercliffe Road",Burnley,BB10 1WB,-2.230537,53.80508,I am the description,I am the title,yes
S88,9 St Johns Street,Bury St Edmunds,IP33 1SQ,0.712123,52.247332,I am the description,I am the title,yes
S89,45 High Road,Bushey Heath,WD23 1SH,-0.342818,51.634511,I am the description,I am the title,yes
S91,18 Trelowarren Street,Camborne,TR14 8AA,-5.298006,50.214062,I am the description,I am the title,yes
S92,53/55 High Street,Canvey Island,SS8 7RD,0.596751,51.523027,I am the description,I am the title,yes
S93,4 Vulcan Place,Carbrooke,IP25 6XU,0.811329,52.593141,I am the description,I am the title,yes
S95,2/3 Priory Street,Cardigan,SA43 1BU,-4.65852,52.083468,I am the description,I am the title,yes
S96,31 Blue Street,Carmarthen,SA31 3LE,-4.307937,51.855668,I am the description,I am the title,yes
S97,50 St Peters Street,Canterbury,CT1 2AT,1.077977,51.280384,I am the description,I am the title,yes
S99,31 High Street,Carrickfergus,BT38 7AN,-5.807,54.7156,I am the description,I am the title,yes
S100,62 Carlton Street,Castleford,WF10 1DB,-1.352879,53.726097,I am the description,I am the title,yes
S101,3A Market Place,Chalfont St. Peter,SL9 9EA,-0.558737,51.606895,I am the description,I am the title,yes
S102,17 High Street,Cheadle,SK8 1AZ,-2.216788,53.39098,I am the description,I am the title,yes
